,loss
0,0.00031685708737847943
1,0.0003109687866776188
2,0.00030938339662256193
3,0.00030888363666090984
4,0.00030792876365428495
5,0.0003072055526704295
6,0.00030694431779188853
7,0.00030625121075665676
8,0.00030596042337740294
9,0.0003056987756887127
10,0.00030578461510432086
11,0.00030509407700401455
12,0.000305600843608773
13,0.0003051752278334518
14,0.00030525642075054953
15,0.00030488488194595827
16,0.0003048995656161983
17,0.0003044789790771434
18,0.00030457858987057584
19,0.00030415128928072856
20,0.0003045543434765808
21,0.0003041288811022904
22,0.00030455428544637624
23,0.0003041998404407556
24,0.00030417867275905403
25,0.00030426411006862354
26,0.00030416854309743704
27,0.0003035890887796491
28,0.00030388189962904345
29,0.0003034403571464045
30,0.0003040720127110075
31,0.000303632245499954
32,0.00030347063198631795
33,0.00030372488191201294
34,0.00030369918322048825
35,0.0003031740970126377
36,0.0003030897288704866
37,0.00030323566180345227
38,0.0003033223518341783
39,0.00030290813758830144
40,0.00030339845043834973
41,0.00030329162438877156
42,0.0003028274038746191
43,0.0003028619004013175
44,0.000303535460457139
45,0.0003029687028770213
46,0.00030281540052244004
47,0.00030232240200021973
48,0.0003030824847883445
49,0.00030263358422418836
50,0.00030273407627809086
51,0.000302736820628813
52,0.0003027194196404232
53,0.0003024771529549484
54,0.0003025456477244866
55,0.00030256788694733904
56,0.0003027988823458062
57,0.00030259149193400113
58,0.0003025436171382736
59,0.00030248842266064765
60,0.00030277204302482023
61,0.0003024005530432603
62,0.00030248653954746246
63,0.0003023183625095582
64,0.0003022106627055389
65,0.00030171623793505235
66,0.00030207033228188396
67,0.00030075137182803297
68,0.0003020524284333637
69,0.00030302891715154823
70,0.0003012384393921627
71,0.0003019889841452806
72,0.0003022891302135544
73,0.0003024223209645507
74,0.0003016901246072395
75,0.00030232778843612245
76,0.0003016030763254064
77,0.0003020991814320245
78,0.0003014412807529553
79,0.0003014655803528712
80,0.00030165735782973783
81,0.0003020151742657819
82,0.0003018490099535777
83,0.0003023825503606806
84,0.0003018239577670312
85,0.00030132829665812814
86,0.00030165408730882905
87,0.00030122641587912354
88,0.00030112056964122996
89,0.0003023556829978163
90,0.00030160473176574226
91,0.0003010990593486442
92,0.00030155045555310634
93,0.0003020091446363811
94,0.00030093404099970704
95,0.00030105521142198197
96,0.0003010991600822671
97,0.0003008917840525175
98,0.0003018832754024093
99,0.0003013463287929797
