,loss
0,0.0007234944407784414
1,0.0007081214818439702
2,0.0007077941405864191
3,0.0007095060537870387
4,0.0007106833049566983
5,0.0007104507050100431
6,0.0007116634383437825
7,0.0007131036334140661
8,0.0007139161398684675
9,0.0007138129689553699
10,0.0007164405139284134
11,0.0007177391454640827
12,0.0007198641163460404
13,0.0007235264654280129
14,0.0007210579699416227
15,0.0007229613090253766
16,0.0007261314449137064
17,0.000726387443009551
18,0.0007267311411754664
19,0.000729610429914124
20,0.0007341884012001555
21,0.000726458532952705
22,0.0007288278255000416
23,0.0007348852274885727
24,0.0007324399426763187
25,0.0007238520075469054
26,0.000729015033163902
27,0.0007392195765141336
28,0.0007348956119350861
29,0.0007362820388868666
30,0.0007350773318870332
31,0.0007386797078871864
32,0.000731570634934862
33,0.0007309409820907534
34,0.0007333056397738124
35,0.0007329470047745471
36,0.0007392305782859039
37,0.0007390141698854294
38,0.0007319368095452405
39,0.0007373968840450265
40,0.0007306649597339111
41,0.0007478122409506283
42,0.0007373288650972872
43,0.0007333037689407159
44,0.0007373666667620218
45,0.0007539167921636993
46,0.0007272036495776271
47,0.0007513550993669623
48,0.0007285962890045378
49,0.0007404613970176359
50,0.0007264082637412394
51,0.0007343547371119286
52,0.000746328374239959
53,0.0007377422044789742
54,0.0007539136022037412
55,0.0007519745389000386
56,0.0007441844038604077
57,0.000750778442985833
58,0.0007532853602152638
59,0.0007502895283118511
60,0.0007553116476777836
61,0.0007420481671860688
62,0.0007529623225559266
63,0.000756914926531104
64,0.0007547231365389028
65,0.0007286795100145037
66,0.0007262615383697779
67,0.0007449147486141804
68,0.0007515001832216589
69,0.0007513863698825887
70,0.0007481089866756553
71,0.0007613387899204758
72,0.0007613009987069671
73,0.0007700417781967086
74,0.0007389353715352953
75,0.0007453871370940672
76,0.0007454971365162562
77,0.0007684678380593813
78,0.0007406366457647289
79,0.0007543359059348367
80,0.0007512673345419666
81,0.0007678742510171594
82,0.0007403154771250292
83,0.0007522495328806555
84,0.0007674789577444126
85,0.0007730815119296626
86,0.0007477946495351273
87,0.0007392490562676255
88,0.0007609705684163203
89,0.0007640135028622181
90,0.0007577710214594786
91,0.0007524774170953067
92,0.0007329682915552597
93,0.0007530206744719019
94,0.0007642092356740627
95,0.0007321508410334357
96,0.0007552315217812464
97,0.0007777197045241576
98,0.0007883523698798215
99,0.0007358110172932701
