,loss
0,0.0003303026268639152
1,0.00032291104145161753
2,0.00032157706305515894
3,0.0003199347698942177
4,0.0003191379359061484
5,0.0003186693711619432
6,0.0003178302731082163
7,0.00031736283574594767
8,0.00031675651896156563
9,0.0003167922618164102
10,0.0003164269062432658
11,0.00031586983774170254
12,0.0003156994682314501
13,0.0003155054899608735
14,0.00031565588938786373
15,0.000315246605085944
16,0.0003148866617098047
17,0.00031491901569061947
18,0.00031501816192122694
19,0.0003142395770402389
20,0.00031494289277222244
21,0.0003141488191635956
22,0.00031446230534720954
23,0.0003141459239781197
24,0.00031433767631066744
25,0.00031422634195114456
26,0.0003142681312213133
27,0.0003138371892242023
28,0.00031371829578939585
29,0.00031335626134213477
30,0.0003138237199923833
31,0.00031376743455608345
32,0.00031360580450197914
33,0.0003130849363396145
34,0.0003135842859780638
35,0.0003127031031162221
36,0.00031303721523262356
37,0.00031303332692231685
38,0.00031311247775739234
39,0.00031279428094160865
40,0.0003130286873547638
41,0.00031278200872446484
42,0.00031261417915181937
43,0.0003121671751644409
44,0.00031245454905416567
45,0.00031202385281564723
46,0.0003119341832682464
47,0.00031241534789977027
48,0.0003119238224377373
49,0.0003126462280936729
50,0.0003120277966933373
51,0.0003119540115946041
52,0.0003117855453750074
53,0.00031144818837672544
54,0.00031237634338449765
55,0.00031186862758881564
56,0.0003115089733622416
57,0.0003115139924522304
58,0.00031142122179366464
59,0.00031115739655792864
60,0.0003110301443588963
61,0.00031045875866566463
62,0.00031064659356562106
63,0.0003113861521760198
64,0.00031072361075648114
65,0.00031119837302564135
66,0.00031037467812940217
67,0.000310768626064012
68,0.0003102529228540992
69,0.00030996812439557884
70,0.0003099761026882754
71,0.0003103368565771563
72,0.00030979600397828936
73,0.0003101440919561816
74,0.00030945355632131156
75,0.00030974965800926476
76,0.0003095772805809946
77,0.00030973011372095337
78,0.0003094886325082716
79,0.0003096549612338443
80,0.0003089349704612116
81,0.00030934297436806284
82,0.0003093545068562778
83,0.00030829685674720736
84,0.0003102101276126325
85,0.00030951816498498753
86,0.00030909460387703875
87,0.00030874819731514943
88,0.00030851543947272463
89,0.0003083077559445012
90,0.00030782183360078373
91,0.00030820054936922395
92,0.00030843352610100477
93,0.0003083246546035093
94,0.00030773252431974275
95,0.0003083098085991094
96,0.00030818938599806023
97,0.00030778602248779217
98,0.00030721161972745576
99,0.0003076869130689007
